subjectNo	activityName	featureLabel	count	average
1	LAYING	TimeBodyAccMeanX	50	0.22159824394
1	LAYING	TimeBodyAccMeanY	50	-0.0405139534294
1	LAYING	TimeBodyAccMeanZ	50	-0.11320355358
1	LAYING	TimeBodyAccStdX	50	-0.9280564692
1	LAYING	TimeBodyAccStdY	50	-0.83682740562
1	LAYING	TimeBodyAccStdZ	50	-0.826061401628
1	LAYING	TimeGravityAccMeanX	50	-0.24888179828
1	LAYING	TimeGravityAccMeanY	50	0.70554977346
1	LAYING	TimeGravityAccMeanZ	50	0.4458177198
1	LAYING	TimeGravityAccStdX	50	-0.8968300184
1	LAYING	TimeGravityAccStdY	50	-0.90772000676
1	LAYING	TimeGravityAccStdZ	50	-0.85236629022
1	LAYING	TimeBodyAccJerkMeanX	50	0.0810865342
1	LAYING	TimeBodyAccJerkMeanY	50	0.0038382040088
1	LAYING	TimeBodyAccJerkMeanZ	50	0.010834236361
1	LAYING	TimeBodyAccJerkStdX	50	-0.958482112
1	LAYING	TimeBodyAccJerkStdY	50	-0.9241492736
1	LAYING	TimeBodyAccJerkStdZ	50	-0.9548551108
1	LAYING	TimeBodyGyroMeanX	50	-0.016553093978
1	LAYING	TimeBodyGyroMeanY	50	-0.064486124088
1	LAYING	TimeBodyGyroMeanZ	50	0.14868943626
1	LAYING	TimeBodyGyroStdX	50	-0.87354386782
1	LAYING	TimeBodyGyroStdY	50	-0.9510904402
1	LAYING	TimeBodyGyroStdZ	50	-0.9082846626
1	LAYING	TimeBodyGyroJerkMeanX	50	-0.107270949192
1	LAYING	TimeBodyGyroJerkMeanY	50	-0.04151728689
1	LAYING	TimeBodyGyroJerkMeanZ	50	-0.0740501211
1	LAYING	TimeBodyGyroJerkStdX	50	-0.9186085208
1	LAYING	TimeBodyGyroJerkStdY	50	-0.9679072436
1	LAYING	TimeBodyGyroJerkStdZ	50	-0.9577901596
1	LAYING	TimeBodyAccMagMean	50	-0.8419291525
1	LAYING	TimeBodyAccMagStd	50	-0.79514486386
1	LAYING	TimeGravityAccMagMean	50	-0.8419291525
1	LAYING	TimeGravityAccMagStd	50	-0.79514486386
1	LAYING	TimeBodyAccJerkMagMean	50	-0.9543962646
1	LAYING	TimeBodyAccJerkMagStd	50	-0.9282456284
1	LAYING	TimeBodyGyroMagMean	50	-0.874759548
1	LAYING	TimeBodyGyroMagStd	50	-0.81901016976
1	LAYING	TimeBodyGyroJerkMagMean	50	-0.96346103
1	LAYING	TimeBodyGyroJerkMagStd	50	-0.9358409828
1	LAYING	FreqBodyAccMeanX	50	-0.9390990524
1	LAYING	FreqBodyAccMeanY	50	-0.86706520518
1	LAYING	FreqBodyAccMeanZ	50	-0.8826668762
1	LAYING	FreqBodyAccStdX	50	-0.9244374346
1	LAYING	FreqBodyAccStdY	50	-0.8336255561
1	LAYING	FreqBodyAccStdZ	50	-0.81289155944
1	LAYING	FreqBodyAccJerkMeanX	50	-0.9570738838
1	LAYING	FreqBodyAccJerkMeanY	50	-0.9224626098
1	LAYING	FreqBodyAccJerkMeanZ	50	-0.9480609042
1	LAYING	FreqBodyAccJerkStdX	50	-0.9641607086
1	LAYING	FreqBodyAccJerkStdY	50	-0.9322178704
1	LAYING	FreqBodyAccJerkStdZ	50	-0.9605869872
1	LAYING	FreqBodyGyroMeanX	50	-0.850249174586
1	LAYING	FreqBodyGyroMeanY	50	-0.9521914948
1	LAYING	FreqBodyGyroMeanZ	50	-0.909302721
1	LAYING	FreqBodyGyroStdX	50	-0.8822964508
